Satellite                     AOS           LOS     Duration  Peak AZ  Peak EL
------------------------------------------------------------------------------
IO-117      10/31/2024 9:39:36 AM   10:59:45 AM     01:20:09   295.2°    65.9°
CAS-4A     10/31/2024 11:43:08 AM   11:54:40 AM     00:11:32   139.7°    30.9°
RS-44      10/31/2024 12:16:01 PM   12:35:58 PM     00:19:57   271.2°    33.5°
CAS-4A      10/31/2024 1:21:17 PM    1:32:58 PM     00:11:41   333.5°    33.0°
AO-73       10/31/2024 3:48:45 PM    4:01:17 PM     00:12:32    78.9°    71.6°
IO-117      10/31/2024 6:13:59 PM    7:34:10 PM     01:20:11    67.4°    71.3°
AO-07       10/31/2024 6:42:26 PM    7:05:27 PM     00:23:01   256.4°    62.8°
XW-2B       10/31/2024 8:41:36 PM    8:50:48 PM     00:09:12   262.5°    72.5°
RS-44      10/31/2024 10:54:23 PM   11:14:29 PM     00:20:06    89.3°    34.6°
ISS         11/1/2024 12:28:58 AM   12:40:07 AM     00:11:09   313.5°    60.5°
RS-44       11/1/2024 12:47:35 AM    1:07:53 AM     00:20:18   281.5°    33.4°
AO-07        11/1/2024 6:50:44 AM    7:13:37 AM     00:22:53   105.2°    65.5°
IO-117       11/1/2024 8:00:39 AM    9:19:05 AM     01:18:26   101.1°    75.8°
ISS          11/1/2024 8:38:43 AM    8:49:49 AM     00:11:06   227.4°    75.0°
XW-2B        11/1/2024 9:18:38 AM    9:27:43 AM     00:09:05   280.7°    62.3°
RS-44       11/1/2024 10:45:59 AM   11:07:17 AM     00:21:18    83.1°    58.6°
CAS-4A      11/1/2024 12:43:48 PM   12:55:37 PM     00:11:49   331.8°    39.6°
AO-73        11/1/2024 3:53:25 PM    4:05:58 PM     00:12:33    80.1°    83.5°
IO-117       11/1/2024 4:31:43 PM    5:50:28 PM     01:18:45    51.6°    40.7°
AO-07        11/1/2024 5:42:49 PM    6:05:28 PM     00:22:39    67.5°    54.8°
CAS-4A       11/1/2024 7:19:43 PM    7:31:25 PM     00:11:42   216.8°    48.4°
IO-117       11/1/2024 8:30:44 PM    9:45:30 PM     01:14:46   265.9°    51.9°
XW-2B        11/1/2024 8:55:01 PM    9:04:01 PM     00:09:00   259.7°    35.5°
RS-44       11/1/2024 11:17:24 PM   11:38:33 PM     00:21:09    92.1°    59.4°
ISS         11/1/2024 11:39:43 PM   11:50:51 PM     00:11:08   132.0°    59.6°
IO-117       11/2/2024 6:27:06 AM    7:38:26 AM     01:11:20    90.3°    40.2°
AO-07        11/2/2024 7:43:37 AM    8:06:12 AM     00:22:35   290.7°    58.3°
ISS          11/2/2024 7:49:27 AM    8:00:28 AM     00:11:01    42.8°    48.4°
IO-117      11/2/2024 10:17:03 AM   11:36:37 AM     01:19:34   302.3°    50.1°
RS-44       11/2/2024 11:09:38 AM   11:31:11 AM     00:21:33   261.5°    84.5°
CAS-4A      11/2/2024 12:06:13 PM   12:18:08 PM     00:11:55   330.3°    48.7°
AO-73        11/2/2024 3:58:02 PM    4:10:35 PM     00:12:33   257.9°    84.1°
AO-07        11/2/2024 6:35:17 PM    6:58:23 PM     00:23:06   254.0°    70.2°
CAS-4A       11/2/2024 6:42:09 PM    6:53:59 PM     00:11:50   215.8°    63.7°
IO-117       11/2/2024 6:50:18 PM    8:09:52 PM     01:19:34   322.7°    89.8°
RS-44       11/2/2024 11:40:57 PM   12:02:21 AM     00:21:24   270.1°    83.2°
AO-07        11/3/2024 5:43:40 AM    6:06:27 AM     00:22:47   103.4°    58.5°
IO-117       11/3/2024 7:35:28 AM    8:55:16 AM     01:19:48   286.7°    84.8°
CAS-4A      11/3/2024 10:28:33 AM   10:40:32 AM     00:11:59   326.0°    61.2°
RS-44       11/3/2024 10:33:30 AM   10:54:35 AM     00:21:05   268.9°    50.5°
AO-73        11/3/2024 3:02:36 PM    3:15:08 PM     00:12:32   259.2°    72.2°
IO-117       11/3/2024 4:09:10 PM    5:29:03 PM     01:19:53    60.8°    54.2°
AO-07        11/3/2024 4:35:53 PM    4:58:17 PM     00:22:24    67.7°    49.1°
CAS-4A       11/3/2024 5:04:29 PM    5:16:23 PM     00:11:54   206.0°    82.7°
AO-07        11/3/2024 6:29:11 PM    6:50:35 PM     00:21:24   260.9°    30.0°
IO-117       11/3/2024 8:07:15 PM    9:17:01 PM     01:09:46   271.0°    36.2°
ISS         11/3/2024 10:37:39 PM   10:48:37 PM     00:10:58   316.6°    35.1°
RS-44       11/3/2024 11:05:00 PM   11:25:56 PM     00:20:56   278.9°    49.3°
IO-117       11/4/2024 5:59:08 AM    7:14:50 AM     01:15:42    96.2°    56.7°
AO-07        11/4/2024 6:36:28 AM    6:59:12 AM     00:22:44   289.5°    65.0°
ISS          11/4/2024 6:47:16 AM    6:58:09 AM     00:10:53   229.7°    40.3°
RS-44        11/4/2024 9:03:58 AM    9:24:51 AM     00:20:53    79.1°    39.7°
CAS-4A       11/4/2024 9:50:48 AM   10:02:49 AM     00:12:01   331.6°    78.1°
IO-117       11/4/2024 9:56:05 AM   11:14:24 AM     01:18:19   311.7°    37.5°
AO-73        11/4/2024 3:07:09 PM    3:19:38 PM     00:12:29   258.2°    61.7°
CAS-4A       11/4/2024 4:26:43 PM    4:38:38 PM     00:11:55    36.3°    77.3°
AO-07        11/4/2024 5:28:09 PM    5:51:18 PM     00:23:09   250.2°    78.0°
IO-117       11/4/2024 6:26:27 PM    7:44:21 PM     01:17:54   258.8°    70.6°
RS-44        11/4/2024 9:35:53 PM    9:56:06 PM     00:20:13    89.3°    39.4°
ISS          11/4/2024 9:48:00 PM    9:59:13 PM     00:11:13   314.7°    76.2°
AO-07        11/5/2024 5:36:38 AM    5:59:14 AM     00:22:36   102.9°    52.0°
ISS          11/5/2024 5:57:41 AM    6:08:48 AM     00:11:07    30.3°    86.3°
IO-117       11/5/2024 8:11:31 AM    9:31:39 AM     01:20:08   294.9°    66.4°
CAS-4A       11/5/2024 9:12:58 AM    9:24:58 AM     00:12:00   152.3°    81.9°
RS-44        11/5/2024 9:27:26 AM    9:49:09 AM     00:21:43    84.7°    67.5°
AO-73        11/5/2024 3:11:39 PM    3:24:05 PM     00:12:26   261.2°    52.7°
CAS-4A       11/5/2024 3:48:51 PM    4:00:44 PM     00:11:53    29.9°    60.2°
AO-07        11/5/2024 4:28:58 PM    4:51:07 PM     00:22:09    65.9°    43.9°
IO-117       11/5/2024 4:45:54 PM    6:06:05 PM     01:20:11    67.1°    70.7°
AO-07        11/5/2024 6:21:50 PM    6:43:38 PM     00:21:48   259.7°    33.9°
ISS          11/5/2024 8:58:33 PM    9:09:37 PM     00:11:04   132.2°    46.5°
RS-44        11/5/2024 9:59:02 PM   10:20:05 PM     00:21:03    93.1°    67.9°
AO-73        11/6/2024 2:58:03 AM    3:10:43 AM     00:12:40    98.4°    31.9°
AO-07        11/6/2024 6:29:20 AM    6:52:11 AM     00:22:51   291.5°    72.4°
IO-117       11/6/2024 6:32:39 AM    7:51:01 AM     01:18:22   100.6°    75.2°
CAS-4A       11/6/2024 8:35:04 AM    8:46:59 AM     00:11:55   145.7°    62.7°
